OBJECTID,RELI,E_KOORD,E_ZENTER,N_KOORD,N_ZENTER,B20BM14,B20BM15,B20BM16,B20BM17,B20BM18,B20BM19,M_TOT,B20BW14,B20BW15,B20BW16,B20BW17,B20BW18,B20BW19,W_TOT,TOT
85,68582458,2685800,2685850,1245800,1245850,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3
86,68592489,2685900,2685950,1248900,1248950,3,3,3,3,3,0,15,0,3,3,3,3,0,12,27
87,68612459,2686100,2686150,1245900,1245950,3,3,3,3,3,0,15,3,3,3,3,0,0,12,27
88,68612448,2686100,2686150,1244800,1244850,0,0,3,0,0,0,3,3,0,0,0,0,0,3,6
89,68612455,2686100,2686150,1245500,1245550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,68632456,2686300,2686350,1245600,1245650,4,3,3,3,0,0,13,5,3,3,3,0,0,14,27
91,68642507,2686400,2686450,1250700,1250750,4,0,3,3,0,0,10,3,3,3,3,3,3,18,28
92,68652451,2686500,2686550,1245100,1245150,3,3,5,0,0,0,11,6,3,3,3,0,0,15,26
93,68662502,2686600,2686650,1250200,1250250,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3
94,68682487,2686800,2686850,1248700,1248750,0,3,0,0,0,0,3,0,0,3,0,0,0,3,6
95,68682511,2686800,2686850,1251100,1251150,3,3,0,0,0,0,6,0,0,3,0,3,0,6,12
96,68692506,2686900,2686950,1250600,1250650,4,3,3,0,3,0,13,4,3,3,0,5,0,15,28
97,68702466,2687000,2687050,1246600,1246650,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
98,68702485,2687000,2687050,1248500,1248550,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3
99,68712464,2687100,2687150,1246400,1246450,0,0,3,0,0,3,6,0,3,0,0,0,3,6,12
100,68712458,2687100,2687150,1245800,1245850,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3
101,68742454,2687400,2687450,1245400,1245450,0,3,4,4,0,0,11,3,3,7,4,0,0,17,28
102,68752454,2687500,2687550,1245400,1245450,3,0,8,4,3,0,18,4,5,8,3,3,3,26,44
103,68762462,2687600,2687650,1246200,1246250,0,0,0,0,0,0,0,3,0,0,3,0,0,6,6
